2023-12-15 01:24:16,773 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: UserID, Error Message: Invalid numeric cell type, Row Number: 7, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-15 01:32:15,242 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: UserID, Error Message: Invalid numeric cell type, Row Number: 7, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-15 01:32:44,308 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: UserID, Error Message: Invalid numeric cell type, Row Number: 7, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:23:51,058 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:26:43,307 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:27:32,163 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:28:54,512 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:30:29,256 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:31:16,747 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 17:31:17,224 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:08:25,011 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
